"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",513.828919884937,507.411059788652,509.838845759084,508.054387837793,600.744392180968,799.573180278265,1,1,1,1,1,1
"2",601.264233451744,574.559752290627,622.837892258472,585.496361559254,773.694709573401,1099.02560254091,1,1,1,1,1,1
"3",271.184327474575,271.633087442679,264.880995909503,266.142802709399,314.100783939614,623.664677130092,1,1,1,1,1,1
"4",472.233200609299,474.194367618263,463.768599317879,589.722496405906,544.506883937278,729.320531567323,1,1,1,0,1,1
"5",921.030588984496,883.021474893612,859.951182826521,850.970546495133,1165.46752535082,1173.2475131527,1,1,1,1,1,1
"6",273.282813253287,254.818053065713,276.361034050009,272.186623697775,272.463782969587,565.647310638101,1,1,1,1,1,1
"7",199.366420112894,196.248719528511,199.970289487052,199.084671079026,236.901664556195,690.291020742202,1,1,1,1,1,1
"8",560.369167882719,527.90388708966,703.816214794238,693.79128206905,802.285385514203,595.847959403239,1,1,1,1,1,1
"9",287.463950976032,287.615778592219,287.119854165906,286.906214460267,287.366658884641,753.938889215807,1,1,1,1,1,1
"10",365.780385881601,353.863760035937,357.22153189912,359.650135030603,377.02361488475,635.782486393955,1,1,1,1,1,1
"11",67.5272091295287,67.239403601131,70.098189339755,64.7396992122926,123.950185123026,537.550767902847,1,1,1,1,1,1
"12",33.7986410732259,33.8007087783775,32.8258025588842,34.135644991059,29.1432061196989,365.135679487953,1,1,1,1,1,1
"13",182.073738551134,179.926573707264,197.14167157127,193.809557252348,206.804883907559,414.628126576523,1,1,1,1,1,1
"14",346.472751625132,252.785559952553,334.669314923706,330.74395318094,332.501595954719,445.803613947063,0,1,1,1,1,1
"15",285.100365647377,270.526437707276,331.344708085847,273.435192551445,337.190592421302,397.835084238668,1,1,1,1,1,1
"16",103.710754185586,103.80573859908,103.580457545774,103.618399743418,95.1693574518964,436.04703788426,1,1,1,1,1,1
"17",127.541267270614,126.296417659314,132.634940920982,131.710823187319,131.730703448409,570.058014751294,1,1,1,1,1,1
"18",304.340381128897,303.764975500091,304.740934480391,305.526285628252,357.830746472286,436.589624364465,1,1,1,1,1,1
"19",283.440682226699,266.08586725354,297.179262818954,299.665071209601,376.900505427087,409.29806767995,1,1,1,1,1,1
"20",562.340381458628,547.021054001435,547.709704301985,538.415013629272,701.81263532182,807.386652656892,1,1,1,1,1,1
"21",109.802882441258,109.603885708093,109.286760114302,109.588001016846,105.385239465157,527.023772997505,1,1,1,1,1,1
"22",90.3282397985542,94.4563568347253,86.3358907882733,89.1064410430498,95.6186375799275,296.569211668162,1,1,1,1,1,1
"23",76.9655175044517,78.0663970202268,78.8189099499208,79.3953944060578,85.806829039936,401.624107590215,1,1,1,1,1,1
"24",236.938627375913,221.662488212787,236.818113892925,236.900631427257,233.918208499581,382.938210350405,1,1,1,1,1,1
"25",1078.93324171339,907.875447202761,929.972189491392,929.785979840087,944.567673929913,1098.521284001,0,1,1,1,1,1
"26",228.818319634497,229.837742916963,237.691675130846,232.236076366324,256.365257093846,392.160195162562,1,1,1,1,1,1
"27",558.359491092912,547.756393983438,525.894883975494,528.579303191504,555.340594848223,577.01886153793,1,1,1,1,1,1
"28",478.618631833192,474.565348227974,480.031603254564,473.13519595249,504.135045550866,828.983828181622,1,1,1,1,1,1
"29",189.300722553976,190.942110297401,188.998895915522,188.916995172046,182.393300089087,645.453882898981,1,1,1,1,1,1
"30",434.112050466041,424.638592355481,463.693527176285,458.17192457788,589.786762524326,746.113697321871,1,1,1,1,1,1
"31",838.884117646413,827.38402878467,847.619956566482,824.400416907056,865.249975446917,967.401623331352,1,1,1,1,1,1
"32",349.938506056678,324.27584281189,349.479133394123,349.312035072187,339.022308982979,506.321613931219,1,1,1,1,1,1
"33",280.355016435664,280.85327020057,278.954962121497,279.003706219509,291.134783686444,581.640557725497,1,1,1,1,1,1
"34",291.715809077541,290.353604831438,291.435842519702,292.867227055578,299.997154369693,662.567645158165,1,1,1,1,1,1
"35",339.14981778887,334.959537895786,339.092259700639,338.952780634713,332.176250443583,538.632671668399,1,1,1,1,1,1
"36",252.729418162846,237.479475740018,260.735716351647,248.148531346611,258.703235086092,354.421429329671,1,1,1,1,1,1
"37",430.226698811766,428.703206780776,412.288070416928,414.234069684224,463.531780853631,525.011205818544,1,1,1,1,1,1
"38",79.6751968869568,81.3872185205366,71.9115084367865,69.3190007565012,85.9663949233947,610.302132303217,1,1,1,1,1,1
"39",444.0422514143,407.336406941856,464.558436406623,482.176610346525,466.883617708898,448.072020744901,1,1,1,1,1,1
"40",132.363008055634,132.2011764525,134.310327215741,103.883574801971,122.314417065502,447.429888494957,1,1,1,1,1,1
