-266.968636611027,-262.369642858567,-265.781564948039,-263.232605770832,TRUE,TRUE,TRUE,TRUE,12.0588957401209
-301.114326189236,-286.949232756659,-311.146934725103,-293.58493752016,TRUE,TRUE,TRUE,TRUE,8.91216964540017
-136.597901447473,-137.111142300853,-133.530511158334,-133.327265305347,TRUE,TRUE,TRUE,TRUE,6.63569580382587
-250.524741062985,-251.784085728441,-259.67469456758,-240.681053956265,TRUE,TRUE,FALSE,TRUE,5.25295312264032
-419.705311040302,-420.865737376394,-499.854104221122,-430.659806739246,TRUE,TRUE,FALSE,TRUE,11.182041078465
-137.862898808082,-130.696811488591,-139.016582885574,-137.258122266484,TRUE,TRUE,TRUE,TRUE,23.2335816552749
-99.5747295164998,-97.9261231144203,-99.7384588725962,-99.6132206052769,TRUE,TRUE,TRUE,TRUE,16.6258232632751
-315.809982144006,-283.57823480286,-416.712495673311,-387.528298892864,TRUE,TRUE,FALSE,TRUE,14.5804552612584
-143.784239519867,-143.796212893769,-143.601494519278,-143.725241782047,TRUE,TRUE,TRUE,TRUE,1.17017725000375
-184.442583663209,-177.301338436894,-181.675624746594,-357.797957062207,TRUE,TRUE,TRUE,FALSE,6.00230636094331
-34.9640574052034,-34.7536414988369,-37.8274646940206,-32.8059185694167,TRUE,TRUE,TRUE,TRUE,15.643191230387
-16.8169593139367,-16.7642967808168,-16.7720811220162,-18.5573722788463,TRUE,TRUE,TRUE,TRUE,19.5679494628878
-91.8398413881559,-90.4590124405034,-100.214922359768,-97.840779816811,TRUE,TRUE,TRUE,TRUE,14.7233979049391
-181.516183311143,-127.992333254504,-168.919617483651,-166.783461939504,FALSE,TRUE,TRUE,TRUE,18.4936590771768
-141.990935933408,-134.820503729586,-163.383591202558,-135.889901816324,TRUE,TRUE,TRUE,TRUE,13.651312072715
-51.9115545229165,-51.9213384701652,-51.8156041941985,-51.8970579824216,TRUE,TRUE,TRUE,TRUE,5.35850946689927
-63.9756493898183,-63.7822395379191,-66.6922459475223,-66.0363753275906,TRUE,TRUE,TRUE,TRUE,13.6849420092186
-156.959233635172,-156.767090804557,-166.855114870712,-155.007289793459,TRUE,TRUE,TRUE,TRUE,23.0065648948787
-146.683765317004,-135.226552986268,-160.248119863423,-159.562890561086,TRUE,TRUE,TRUE,TRUE,11.4283120961507
-302.192209115336,-290.779850446775,-303.367500146127,-278.51980780629,TRUE,TRUE,TRUE,TRUE,18.8707652975715
-54.901302477381,-54.7700254738754,-54.8259582902029,-54.9327589010269,TRUE,TRUE,TRUE,TRUE,14.912485
-48.112205028295,-48.8904098737826,-43.8949130885781,-43.9828592062268,TRUE,TRUE,TRUE,TRUE,19.0401428571429
-38.5005217998768,-38.9787878492458,-39.2885198509669,-40.0714908805465,TRUE,TRUE,TRUE,TRUE,26.617
-118.459926610429,-111.710694981903,-118.367096262107,-118.479327333837,TRUE,TRUE,TRUE,TRUE,30
-464.715805374134,-455.714053577683,-465.181750131381,-465.170960376953,TRUE,TRUE,TRUE,TRUE,20.0289216757657
-117.22477153706,-118.147829830366,-120.418016912745,-115.508048738033,TRUE,TRUE,TRUE,TRUE,25.3182138095238
-285.182227860081,-285.822321305937,-285.137532552642,-281.660094719489,TRUE,FALSE,TRUE,TRUE,24.023382373893
-239.22077908683,-237.125727907249,-239.637957416366,-236.852146045329,TRUE,TRUE,TRUE,TRUE,15.0862214867457
-94.6107939386945,-95.0822047811541,-94.6457667945703,-94.5743544871227,TRUE,TRUE,TRUE,TRUE,27.7241966001478
-232.96520963637,-220.350342773996,-251.061324226552,-246.860722080505,TRUE,TRUE,TRUE,TRUE,10.0845596790277
-446.297940124211,-426.336026232216,-441.280046113692,-440.55418299625,FALSE,TRUE,FALSE,FALSE,26.4468172123691
-175.751664701205,-165.17445891322,-174.910019567625,-174.961477410252,FALSE,TRUE,TRUE,TRUE,29.0804090909091
-141.227681946184,-141.690924567426,-141.326940738596,-139.985713864183,TRUE,TRUE,TRUE,TRUE,24.4264887657191
-145.604654171465,-144.905481894445,-145.771532569806,-146.392553813316,TRUE,TRUE,TRUE,TRUE,26.2440666744841
-169.598722081441,-167.428523853943,-169.417823981925,-169.556106185203,TRUE,TRUE,TRUE,TRUE,10.7079472550595
-132.157799875558,-122.797986217052,-129.698573642043,-126.721054000609,FALSE,TRUE,TRUE,FALSE,25.8922052928461
-220.253512709607,-219.450666324766,-219.991450360885,-211.587003947955,TRUE,TRUE,TRUE,TRUE,10.5962698614833
-43.2480383250728,-43.0362083699084,-44.074888296756,-36.2339771913745,TRUE,TRUE,TRUE,TRUE,23.6644728902701
-216.968622068949,-203.543801779349,-244.361915084382,-228.623094304719,TRUE,TRUE,TRUE,TRUE,12.8207104860305
-67.3001397392231,-67.1282046254295,-68.0119821226347,-55.8028585270459,TRUE,TRUE,TRUE,TRUE,9.75687755168263
-266.968636611027,-262.369642858567,-265.781564948039,-263.232605770832,TRUE,TRUE,TRUE,TRUE,26.433473076631
-301.114326189236,-286.949232756659,-311.146934725103,-293.58493752016,TRUE,TRUE,TRUE,TRUE,27.0601515405149
-136.597901447473,-137.111142300853,-133.530511158334,-133.327265305347,TRUE,TRUE,TRUE,TRUE,22.6489268309227
-250.524741062985,-251.784085728441,-259.67469456758,-240.681053956265,TRUE,TRUE,FALSE,TRUE,30
-419.705311040302,-420.865737376394,-499.854104221122,-430.659806739246,TRUE,TRUE,FALSE,TRUE,24.6339752380952
-137.862898808082,-130.696811488591,-139.016582885574,-137.258122266484,TRUE,TRUE,TRUE,TRUE,28.6557426900585
