"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",287.602035191538,276.286166211326,576.010609079355,274.657880617264,357.151720259315,655.32101471721,1,1,0,1,1,1
"2",292.274758903338,292.104207655308,292.264649018089,291.732177514507,287.652893657873,510.223462771217,1,1,1,1,1,1
"3",401.628528536269,397.478919827551,502.264747365015,395.077804149118,609.811301723744,817.666818369466,1,1,1,1,1,1
"4",387.211847472109,349.541274050401,394.919737297075,396.576612275866,611.540085059115,734.913805103331,1,1,1,1,1,1
"5",224.002866035122,224.046406125948,224.915010122358,223.940135433818,217.64430951499,409.347349722115,1,1,1,1,1,1
"6",264.848292275801,264.478685506031,264.091852800156,263.704821791845,267.67803935573,446.982929050997,1,1,1,1,1,1
"7",463.175260419607,458.865995977015,470.166399753717,459.642019782062,477.550489114674,684.120097454367,1,1,1,1,1,1
"8",206.354049468101,206.77785994262,373.043048986495,207.788486001004,212.151898188053,462.988598435819,1,1,0,1,1,1
"9",348.439465154547,343.129483186676,422.873334505668,351.022102540857,424.214755575429,710.935741552857,1,1,0,1,1,1
"10",290.182619845221,288.065245394477,281.426624199494,281.329005008447,275.186766882215,458.229110172125,1,1,1,1,1,1
"11",483.997467210369,481.098074802255,483.501358047252,485.282062160755,599.459894531943,737.264210582265,1,1,1,1,1,1
"12",236.441906015663,225.277123419072,235.575100889672,234.285806806929,266.976898475601,464.932945034223,1,1,1,1,1,1
"13",478.887392454627,479.035261878047,477.571068726617,478.828488518592,538.107666062105,750.688100055118,1,1,1,1,1,1
"14",504.32706389151,490.677632736991,522.49714949622,496.294892505175,601.011645568041,753.434711318113,1,1,1,1,1,1
"15",488.72583513051,479.500604274747,500.004534540067,479.739653902201,511.235366022827,666.367563910295,1,1,1,1,1,1
"16",501.071134676506,501.519886753783,540.150216304697,512.966365727042,558.587307018379,780.829522288433,1,1,1,1,1,1
"17",38.4451223403046,39.8952853975384,46.9370057656788,46.2719486935321,64.8326324292623,270.946130832614,1,1,1,1,1,1
"18",474.989390392018,464.444641306346,483.103123242102,452.32133135457,609.124566170506,764.50591275294,1,1,1,1,1,1
"19",334.568270427251,328.933879856703,354.67739806626,329.071726906862,373.630491315136,641.391885609781,1,1,1,1,1,1
"20",370.77260310911,360.480384801768,369.442323480531,370.808501849826,423.421178163385,595.245571284114,1,1,1,1,1,1
"21",528.962485313807,528.09422555188,524.487828129871,507.530920072253,635.393705709457,699.55472753898,1,1,1,1,1,1
"22",457.291913611219,457.562359665031,457.882650294721,457.418758335228,473.783762868791,697.112916087308,1,1,1,1,1,1
"23",450.029897889047,445.407667624648,448.289906512309,444.845116073541,491.07913005405,528.756476011488,1,1,1,1,1,1
"24",546.195882209949,529.001448461859,600.937541493972,536.401852323231,606.936748067782,746.034645070968,1,1,1,1,1,1
"25",357.752986734233,336.308244871937,408.877702056315,584.948538936287,424.425171761659,714.231728138846,1,1,1,0,1,1
"26",23.2015526050652,23.2358728814735,21.4590290087905,21.3756897959106,17.7026579046638,196.53410849132,1,1,1,1,1,1
"27",438.781290507488,395.049197738314,467.193710167156,418.507740789497,497.234831032735,708.758666312025,1,1,1,1,1,1
"28",462.374492759221,446.862560842121,525.895638662651,457.958432414798,537.316681063909,751.427498917064,1,1,1,1,1,1
"29",0.209988463407659,0.208977858816392,0.174843517660621,0.158646320720921,2.0051924597485,153.328825242777,0,1,1,1,1,1
"30",253.56633720834,251.619202566303,273.967780038046,253.028376614793,282.098885763984,600.368339030248,1,1,1,1,1,1
"31",375.726008425408,368.073958772532,490.742664782989,367.715577767498,537.265310489297,818.234277285404,1,1,1,1,1,1
"32",145.487214544556,145.249859278918,144.074509311997,144.167852924458,147.445766538269,339.352411034465,1,1,1,1,1,1
"33",291.945752828752,288.184675838861,291.70033759004,287.505372756114,312.650018972206,544.40464783957,1,1,1,1,1,1
"34",514.450735499866,515.575782014806,534.518484924493,516.496269730095,751.112597111937,658.631371989863,1,1,1,1,1,1
"35",305.640673081466,300.755517097083,316.825487292276,306.244787890253,330.28115130255,466.012685267543,1,1,1,1,1,1
"36",427.913269418665,427.422726745329,484.135011281758,425.49159476719,560.090165265697,774.301236042763,1,1,1,1,1,1
"37",83.3222014595628,83.8568316406354,90.7849814016641,90.1241028723874,3491.01138332611,426.628258567746,1,1,1,1,0,1
"38",0.207060924793423,0.200776205759704,0.17691931098576,0.16521332884453,2.02689508044456,153.38336953665,1,0,1,1,1,1
"39",246.976274148447,244.738856955878,263.947148590154,246.089474477246,287.872341576795,611.547277579028,1,1,1,1,1,1
"40",421.417598644275,389.056665218514,440.601720106008,411.134069847311,463.103896988218,658.319664142986,1,1,1,1,1,1
"41",399.871984846853,393.958155965485,423.743977064254,397.758906732715,428.760856934166,669.426110169725,1,1,0,1,1,1
"42",410.005994469684,397.178628083128,412.454557590344,386.696623949263,437.98350759226,656.39939636104,1,1,1,1,1,1
